start_sec,end_sec,class,note
2.823,3.723,Clear,interval
4.489,5.289,Clear,interval
6.156,6.889,Clear,interval
7.756,8.489,Clear,interval
9.389,10.188,Clear,interval
10.988,11.822,Clear,interval
12.721,13.421,Clear,interval
14.321,15.054,Clear,interval
15.954,16.754,Clear,interval
17.687,18.52,Clear,interval
23.353,24.819,Drop,interval
25.553,26.219,Drop,interval
27.052,27.986,Drop,interval
28.852,29.619,Drop,interval
30.319,31.185,Drop,interval
31.718,32.452,Drop,interval
33.018,33.751,Drop,interval
34.285,35.251,Drop,interval
35.818,36.551,Drop,interval
37.251,38.051,Drop,interval
39.75,40.35,Hairpin,interval
40.85,41.583,Hairpin,interval
42.25,43.083,Hairpin,interval
43.65,44.316,Hairpin,interval
45.083,45.816,Hairpin,interval
46.383,47.149,Hairpin,interval
47.749,48.516,Hairpin,interval
49.116,49.749,Hairpin,interval
50.382,51.115,Hairpin,interval
51.782,52.482,Hairpin,interval
60.347,60.78,Drive,interval
61.214,61.847,Drive,interval
62.28,62.847,Drive,interval
63.28,63.813,Drive,interval
64.28,64.746,Drive,interval
65.213,65.68,Drive,interval
66.146,66.613,Drive,interval
67.113,67.613,Drive,interval
68.146,68.579,Drive,interval
71.179,71.312,Drive,interval
71.945,72.512,Under,interval
73.178,73.845,Under,interval
74.545,75.311,Under,interval
76.011,76.744,Under,interval
77.411,78.111,Under,interval
78.777,79.611,Under,interval
80.211,80.91,Under,interval
81.577,82.31,Under,interval
82.977,83.743,Under,interval
84.377,85.343,Under,interval
