t_label_or_start,class,t_peak,used_joint
2.936,Clear,3.47,wrist
4.705,Clear,5.105,wrist
6.406,Clear,7.007,wrist
8.208,Clear,8.842,wrist
10.244,Clear,10.811,wrist
12.012,Clear,12.679,wrist
13.914,Clear,14.514,wrist
15.782,Clear,16.416,wrist
17.718,Clear,18.352,wrist
19.686,Clear,20.354,wrist
24.258,Drop,24.625,wrist
26.093,Drop,26.593,wrist
28.228,Drop,28.729,wrist
30.23,Drop,30.764,wrist
32.299,Drop,32.833,wrist
34.501,Drop,34.935,wrist
36.537,Drop,37.037,wrist
38.672,Drop,39.139,wrist
40.741,Drop,41.308,wrist
42.743,Drop,43.176,wrist
46.747,Hairpin,47.114,wrist
48.382,Hairpin,48.882,wrist
50.217,Hairpin,50.55,wrist
51.985,Hairpin,52.352,wrist
53.82,Hairpin,54.121,wrist
55.689,Hairpin,56.023,wrist
57.457,Hairpin,57.858,wrist
59.393,Hairpin,59.726,wrist
61.228,Hairpin,61.628,wrist
63.13,Hairpin,63.463,wrist
66.7,Drive,67.1,wrist
68.201,Drive,68.669,wrist
69.836,Drive,70.27,wrist
71.471,Drive,71.939,wrist
73.14,Drive,73.64,wrist
74.875,Drive,75.375,wrist
76.61,Drive,77.077,wrist
78.312,Drive,78.845,wrist
80.147,Drive,80.614,wrist
81.882,Drive,82.349,wrist
85.218,Under,85.419,wrist
86.954,Under,87.22,wrist
88.789,Under,89.056,wrist
90.591,Under,91.091,wrist
92.559,Under,93.026,wrist
94.461,Under,94.928,wrist
96.33,Under,96.763,wrist
98.198,Under,98.632,wrist
100.067,Under,100.5,wrist
101.902,Under,102.402,wrist
